RELATIONSHIPID	CONCEPTID1	RELATIONSHIPTYPE	CONCEPTID2	CHARACTERISTICTYPE	REFINABILITY	RELATIONSHIPGROUP
553663029	245428003	123005000	362165006	3	0	0
2833340026	58184002	246112005	272141005	1	2	0
2742813029	194788005	47429007	362969004	0	1	0
2994195020	272646001	116680003	25087005	0	0	0
663956025	303906007	123005000	278198007	3	0	0
2590558024	128482007	116676008	409776007	0	1	0
1738841020	274025005	363700003	41329004	0	1	1
1621271021	302456004	260507000	309795001	1	2	0
811371025	55460000	123005000	362608006	3	0	0
3106382025	16932000	263502005	288524001	1	2	0
2940277022	119190009	116680003	421235005	0	0	0
478090029	10849003	363700003	19227008	0	1	1
770716023	39582006	123005000	361384001	3	0	0
425495028	365469004	116680003	365448001	0	0	0
1970357023	292617004	246075003	372810006	0	1	0
720489021	362165006	123005000	362164005	3	0	0
777282025	42030000	363698007	21514008	0	1	0
3165967027	75150001	263502005	288524001	1	2	0
1902390020	67734004	272741003	182353008	1	2	0
2944098021	370219009	116680003	195967001	0	0	0
816961021	57645008	123005000	38266002	3	0	0
3016006025	176145004	405813007	89837001	0	1	1
1309792024	118856009	260507000	309795001	1	2	0
425301025	365275006	116680003	118222006	0	0	0
696946026	128135006	363698007	68367000	0	1	0
864348029	76164006	260686004	129314006	0	1	1
2643639020	385539003	168666000	386053000	2	0	0
2840801027	350345004	116680003	373873005	0	0	0
2264883023	362076007	123005000	278859004	3	0	0
20238029	106233006	116680003	106232001	0	0	0
240484028	56783008	116680003	122462000	0	0	0
3138139029	274323008	424226004	25005004	1	1	0
2563678025	372553000	116680003	406463001	0	0	0
212703024	39722005	116680003	302536002	0	0	0
585618024	113345001	123005000	362875007	3	0	0
1665224022	312763008	116680003	304783003	0	0	0
151902024	334579000	116680003	39352004	0	0	0
803969024	528006	123005000	181216001	3	0	0
1903382025	71388002	260507000	309795001	1	2	0
2625105025	195898003	116676008	9656002	0	1	1
666506021	118837004	363704007	66754008	0	1	0
2260632028	118927008	116676008	396339007	0	1	1
3181689029	179710001	116680003	68526006	0	0	0
1375150024	194791005	246112005	272141005	1	2	0
2279840025	394720003	363702006	18629005	0	1	0
235317026	53619000	116680003	362965005	0	0	0
2843948027	162781005	116680003	26237000	0	0	0
1309439027	118666003	260870009	272125009	1	2	0
109495027	288524001	116680003	303102005	0	0	0
2230638021	70281000	116680003	363660007	0	0	0
1690496024	363179006	116680003	363171009	0	0	0
929462024	95436008	116676008	9656002	0	1	1
1173545022	22925008	246112005	272141005	1	2	0
741018027	27550009	363698007	59820001	0	1	0
744154027	28845006	363698007	66754008	0	1	2
1297973024	108367008	246112005	272141005	1	2	0
2606040027	161501007	408729009	410515003	0	1	1
2831457023	373572006	246090004	363787002	1	2	0
61655025	243996003	116680003	66019005	0	0	0
98094025	279501005	116680003	62816002	0	0	0
3157330028	42030000	263502005	288524001	1	2	0
1297565020	106190000	246456000	288526004	1	2	0
674454029	119580007	260686004	129287005	0	1	1
1620567026	301811001	246456000	288526004	1	2	0
178745027	361989001	116680003	272655003	0	0	0
60621021	243229006	116680003	59206002	0	0	0
390340025	266228004	116680003	59621000	0	0	0
2784286023	416471007	408729009	410515003	0	1	0
313826029	363285009	116680003	118292001	0	0	0
1161131028	15197002	260507000	309795001	1	2	0
2474531024	106098005	363698007	122489005	0	1	0
2541034020	408876009	116680003	225364005	0	0	0
800703027	51636004	272741003	7771000	0	1	0
3254035023	265585007	405814001	181423002	0	1	1
618378028	116315007	363698007	344001	0	1	0
3185648024	236220003	116680003	118698009	0	0	0
2716896026	277466009	116676008	414629003	0	1	0
2264710022	361384001	123005000	278197002	3	0	0
559898022	250087009	363698007	39352004	0	1	0
2032149024	48692003	116680003	363660007	0	0	0
837930029	65801008	260686004	129304002	0	1	0
3130339024	237288003	263502005	288524001	1	2	0
296279029	90572001	116680003	31094006	0	0	0
585619027	113345001	123005000	262225004	3	0	0
2649201025	46197000	149016008	246464006	2	0	0
3069136024	424199006	363698007	20139000	0	1	0
1411351024	202218004	246112005	272141005	1	2	0
8917026	172859007	116680003	118831003	0	0	0
1238516026	62907002	246456000	288526004	1	2	0
2012167020	386618008	363698007	122865005	0	1	0
2726683026	414029004	363705008	106182000	0	1	0
1834851029	123955006	272741003	182353008	1	2	0
719171022	361829002	123005000	361827000	3	0	0
657704028	301296002	363698007	72410000	0	1	0
3179274022	360330009	116680003	363660007	0	0	0
162121028	127279002	116680003	118937003	0	0	0
1639127021	363066000	260870009	272125009	1	2	0
139857025	312535008	116680003	58675001	0	0	0
227754028	48979004	116680003	32153003	0	0	0
2228223023	45048000	116680003	399913000	0	0	0
2768010028	302777000	116680003	384719006	0	0	0
101582021	281901006	116680003	52731004	0	0	0
2546217020	34565006	116680003	263021005	0	0	0
12873029	178728009	116680003	38904005	0	0	0
1141142025	2919008	246112005	272141005	1	2	0
1199596021	38850007	246456000	288526004	1	2	0
1203830029	41427001	246456000	288526004	1	2	0
2953233022	420544002	47429007	62479008	0	1	0
1297339020	105969002	246112005	272141005	1	2	0
659406023	118254002	363698007	774007	0	1	0
3105882025	15938005	263502005	288524001	1	2	0
159049024	125615005	116680003	263017003	0	0	0
720767023	362227006	123005000	302512001	3	0	0
127940029	302536002	116680003	272625005	0	0	0
2745859022	315215002	246090004	64572001	0	1	1
1221856022	52621004	260870009	272125009	1	2	0
129947020	118655005	116680003	38866009	0	0	0
3219786020	274424003	116680003	429723008	0	0	0
329792021	202298000	116680003	302154007	0	0	0
2257454020	275498002	363698007	20139000	0	1	0
656207027	11810009	260686004	129284003	0	1	1
772305021	40173000	260686004	129287005	0	1	1
2835713025	116315007	116680003	419518009	0	0	0
3185692021	22286001	116680003	32062004	0	0	0
1411550021	202257007	246112005	272141005	1	2	0
2989006028	421976005	246456000	288526004	1	2	0
606778028	279491004	123005000	302512001	3	0	0
2460457026	127331007	116680003	300848003	0	0	0
146587029	120574008	116680003	120573002	0	0	0
25737021	108193009	116680003	119595009	0	0	0
964465022	198941007	363698007	281159003	0	1	0
